PrimaryKey,species,density,speciescount,source,reckey,rh_hydrologicfunction,rh_hf_sum,rh_commentshf,rh_bioticintegrity,rh_bi_sum,rh_commentsbi,rh_soilsitestability,rh_sss_sum,rh_commentsss,rh_plantcommunitycomp,DBKey,ecositeID,latitude_nad83,longitude_nad83,state,elevation,county,percentcoveredbyecosite,AH_PerenForbGrassCover,AH_ShrubCover,BareSoilCover,SoilStability_All,modis_landcover
11070716543881302011-09-01,JUOS,NA,NA,TerrADat,1109121042264188,NS,1.3,no loss of function but few water flow patterns present,SM,1.3333333333333333,function reduced by changes in FS groups and invasives,NS,1.2,"few water flow patterns present, no loss of functionality",1,2011,R025XY045NV,41.90942075,-114.1751045,NV,1631,Elko,NA,40.66666667,24,20,3.55555556,Grasslands
11081812271796372011-09-01,JUNIP,NA,NA,TerrADat,1209251654517418,NS,1.1,NA,SM,1.1111111111111112,Perennial bunch grasses severely reduced. ***Refer to separate Jackson Mountain 2012 DIMA to retrieve AIM data (1 line of LPI).,NS,1.1,NA,1,2011,R023XY047NV,41.23417709,-118.51087431,NV,1716,NA,NA,25.33333333,55.33333333,4.66666667,3.5,Grasslands
11081812485570102011-09-01,JUOS,NA,NA,TerrADat,1209251516502779,NS,1.1,NA,SM,1.1111111111111112,"Leaning to slight b/c missing/greatly reduced functional structional groups, cool season deep rooted perennial  grasses. ***Refer to separate Jackson Mountain 2012 DIMA to retrieve AIM data (1 line of LPI).",NS,1.1,NA,1,2011,R023XY018NV,41.31303113,-118.44611573,NV,2000,Humboldt,NA,29.33333333,48.66666667,3.33333333,3.88888889,Grasslands
11060909053426142011-09-01,PIMO,NA,NA,TerrADat,1106091445274596,SM,1.5,some pedestalling and community composition changes that affect infiltration,M,1.6666666666666667,invasive plants have higher percentage cover than all other plants on site.,SM,1.4,pedestalling of some bunchgrasses and a few water flow patterns on 14% slope.  Otherwise good condition.,2,2011,R026XY025NV,39.19789108,-119.40028484,NV,1783,Lyon,NA,30,28,6.66666667,2.38888889,Grasslands
1108171503529112011-09-01,JUOS,NA,NA,TerrADat,1108171925528718,SM,1.4,water appears to be having erosional effects on clay soils,SM,1.3333333333333333,"juniper encroachment occuring, good perennial bunchgrass cover",SM,1.7,"water appears to be having erosional effects on clay soils, soil stability values on the lower end of acceptable.",1,2011,R026XY010NV,39.95692811,-119.87774472,NV,1649,Washoe,NA,20,22,15.33333333,3.55555556,Grasslands
12050814495984242012-09-01,JUOS,NA,NA,TerrADat,1205081658494187,NS,1,NA,SM,1.1111111111111112,NA,NS,1,NA,1,2012,R030XC007NV,36.05982181,-115.51204675,NV,1743,Clark,NA,0.66666667,34,5.33333333,3.38888889,Open Shrublands
12050814495984242012-09-01,PIMO,NA,NA,TerrADat,1205081658494187,NS,1,NA,SM,1.1111111111111112,NA,NS,1,NA,1,2012,R030XC007NV,36.05982181,-115.51204675,NV,1743,Clark,NA,0.66666667,34,5.33333333,3.38888889,Open Shrublands
12061814094281702012-09-01,JUOS,NA,NA,TerrADat,1206260936539350,NS,1.1,NA,SM,1.4444444444444444,NA,NS,1,NA,2,2012,R029XY013NV,37.28202838,-115.28311205,NV,1615,Lincoln,NA,0,33.33333333,2,3.05555556,Open Shrublands
12080811555340282012-09-01,JUCO6,NA,NA,TerrADat,1208141245413690,SM,1.4,Pedestals and water flow patterns are indicating a decrease in infiltration.,SM,1.3333333333333333,There is a change in functional structural groups and a decrease in this years reproduction of perennials.  There are few new seed heads present.,SM,1.3,The plot has slightly more water flow patterns and pedistals than expected.,2,2012,R028BY011NV,39.96856053,-116.14344829,NV,1875,Eureka,NA,25.33333333,32.66666667,28.66666667,3.33333333,Grasslands
12081315444691342012-09-01,JUCO6,NA,NA,TerrADat,1209051147336914,M,1.9,outstanding evedence of water disturbing the site,SM,1.7777777777777777,because of the F/S group shift and amount of plant decadence,M,1.8,outstanding evedence of water disturbing the site,3,2012,R028BY010NV,39.9328371,-116.18854245,NV,1898,Eureka,NA,14,26,27.33333333,3.05555556,Grasslands
12081315444691342012-09-01,PIMO,NA,NA,TerrADat,1209051147336914,M,1.9,outstanding evedence of water disturbing the site,SM,1.7777777777777777,because of the F/S group shift and amount of plant decadence,M,1.8,outstanding evedence of water disturbing the site,3,2012,R028BY010NV,39.9328371,-116.18854245,NV,1898,Eureka,NA,14,26,27.33333333,3.05555556,Grasslands
12081717184092342012-09-01,JUOS,NA,NA,TerrADat,1208051722556524,NS,1.2,NA,SM,1.6666666666666667,NA,NS,1.1,NA,1,2012,R028AY013NV,38.90755604,-114.08947762,NV,1800,Lincoln,NA,3.33333333,22,11.33333333,2.83333333,Grasslands
12081717184092342012-09-01,PIMO,NA,NA,TerrADat,1208051722556524,NS,1.2,NA,SM,1.6666666666666667,NA,NS,1.1,NA,1,2012,R028AY013NV,38.90755604,-114.08947762,NV,1800,Lincoln,NA,3.33333333,22,11.33333333,2.83333333,Grasslands
1208151426244912012-09-01,JUOS,NA,NA,TerrADat,120818123416876,NS,1.1,NA,M,1.5555555555555556,NA,NS,1,NA,1,2012,R028BY006NV,39.95263065,-115.47369096,NV,2039,White Pine,NA,5.33333333,2,3.33333333,3.55555556,Grasslands
1208151426244912012-09-01,PIMO,NA,NA,TerrADat,120818123416876,NS,1.1,NA,M,1.5555555555555556,NA,NS,1,NA,1,2012,R028BY006NV,39.95263065,-115.47369096,NV,2039,White Pine,NA,5.33333333,2,3.33333333,3.55555556,Grasslands
13070912272657382013-09-01,PIMO,NA,NA,TerrADat,130709150429464,SM,1.7,"There are many water flow patterns, pedestals, and terracettes. There are also few bunchgrasses to slow infiltration.",NS,1.4444444444444444,"There are less perennial grasses than expected in the functional/structural groups, and some cheatgrass. However, reproductive capability looks good and all other indicators match what is expected for the site.",SM,1.7,"There are many water flow patterns, some larger litter has moved, and there are pedestals and terracettes. Average soil stability value is 0.2 less than the range of expected values.",2,2013,R028BY034NV,39.80966685,-116.37044183,NV,2360,Eureka,NA,14.66666667,18,12,2.77777778,Grasslands
13082109004734252013-09-01,JUOS,NA,NA,TerrADat,1308211255289156,NS,1.4,Closely matches what is expected for the site.,M,2,This site's biotic integrity has been moderately affected due to invasion of cheatgrass and loss of sagebrush.,NS,1.2,Closely matches what is expected for the site.,1,2013,R023XY016NV,39.99978773,-119.7916183,NV,2039,Washoe,NA,30,13.33333333,2,2.22222222,Grasslands
13082812003410612013-09-01,PIMO,NA,NA,TerrADat,1308281441087614,NS,1.5,"There are few deep-rooted bunchgrasses to slow infiltration. There are also some pedestals and a slightly low soil stability value. However, all other indicators are as expected.",NS,1.4444444444444444,Perennial grasses are no longer the dominant functional/structural group. There is also some loss in soil stability and a lower than normal litter amount. But all other indicators match what is expected for the site.,NS,1.4,"The soil stability value is 0.3 less than expected, there are some pedestals, larger woody litter movement, and areas of soil loss. But all other indicators match what is expected for the site.",3,2013,R027XY032NV,39.24737682,-117.47647676,NV,1925,Lander,NA,8,37.33333333,29.33333333,2.77777778,Grasslands
13092414030316362013-09-01,PIMO,NA,NA,TerrADat,1309250736061503,SM,1.5,"Hydrologic function negatively affected by invasion of pinyon juniper  and loss of bunchgrasses, as well as decrease of litter in interspaces.",M,2.111111111111111,"Biotic integrity negatively affected by invasion of cheatgrass and pinyon juniper, as well as a decrease in litter, and the lack of reproductive vigor in some sagebrush.",NS,1,Closely matches what is expected for the site.,3,2013,R022AY022NV,38.69983951,-119.75450249,CA,1853,Alpine,NA,4.66666667,42.66666667,8.66666667,3.55555556,Savannas
13092414030316362013-09-01,JUOS,NA,NA,TerrADat,1309250736061503,SM,1.5,"Hydrologic function negatively affected by invasion of pinyon juniper  and loss of bunchgrasses, as well as decrease of litter in interspaces.",M,2.111111111111111,"Biotic integrity negatively affected by invasion of cheatgrass and pinyon juniper, as well as a decrease in litter, and the lack of reproductive vigor in some sagebrush.",NS,1,Closely matches what is expected for the site.,3,2013,R022AY022NV,38.69983951,-119.75450249,CA,1853,Alpine,NA,4.66666667,42.66666667,8.66666667,3.55555556,Savannas
13092411041539292013-09-01,JUOS,NA,NA,TerrADat,1309241308386535,NS,1,NA,SM,1.2222222222222223,Lack of grasses and some invasives,NS,1,NA,1,2013,R028AY017NV,39.66167837,-114.25909713,NV,2095,White Pine,NA,9.33333333,30,32,4.83333333,Grasslands
13092512121850192013-09-01,PIMO,NA,NA,TerrADat,1309251635358526,NS,1.3,Closely matches what is expected for the site.,NS,1.3333333333333333,Closely matches what is expected for the site.,NS,1,Closely matches what is expected for the site.,2,2013,R022AY022NV,38.62970339,-119.63393425,CA,2457,Alpine,NA,18,74,2,4,Grasslands
13092512121850192013-09-01,JUOC,NA,NA,TerrADat,1309251635358526,NS,1.3,Closely matches what is expected for the site.,NS,1.3333333333333333,Closely matches what is expected for the site.,NS,1,Closely matches what is expected for the site.,2,2013,R022AY022NV,38.62970339,-119.63393425,CA,2457,Alpine,NA,18,74,2,4,Grasslands
1309260936299092013-09-01,JUOS,NA,NA,TerrADat,1309261149599559,NS,1.3,Closely matches what is expected for the site.,M,2.111111111111111,"Loss of rhizomatous bunchgrasses and invasion by cheatgrass, juniper, and pinyon pine have decreased the biotic integrity of the site.",NS,1.2,Closely matches what is expected for the site.,2,2013,R026XY019NV,38.88541323,-119.63403081,NV,1683,Douglas,NA,2,6.66666667,6.66666667,2.94444444,Grasslands
1309260936299092013-09-01,PIMO,NA,NA,TerrADat,1309261149599559,NS,1.3,Closely matches what is expected for the site.,M,2.111111111111111,"Loss of rhizomatous bunchgrasses and invasion by cheatgrass, juniper, and pinyon pine have decreased the biotic integrity of the site.",NS,1.2,Closely matches what is expected for the site.,2,2013,R026XY019NV,38.88541323,-119.63403081,NV,1683,Douglas,NA,2,6.66666667,6.66666667,2.94444444,Grasslands
13062015171484452013-09-01,PIMO,NA,NA,TerrADat,1306201820186731,SM,1.3,NA,ME,1.7777777777777777,Heavily encroached,NS,1.1,NA,2,2013,R029XY104NV,37.7185439,-115.47156292,NV,1940,Lincoln,NA,0,10,5.33333333,3.27777778,Croplands
13062015171484452013-09-01,JUOS,NA,NA,TerrADat,1306201820186731,SM,1.3,NA,ME,1.7777777777777777,Heavily encroached,NS,1.1,NA,2,2013,R029XY104NV,37.7185439,-115.47156292,NV,1940,Lincoln,NA,0,10,5.33333333,3.27777778,Croplands
13062109353059302013-09-01,JUOS,NA,NA,TerrADat,1306211208542225,NS,1.3,no major water erosion patterns,M,1.4444444444444444,there are many trees and a lack of grasses,NS,1.1,soil stability is good,3,2013,R029XY049NV,37.71656491,-115.44429546,NV,1947,Lincoln,NA,0,9.33333333,26.66666667,3.27777778,Grasslands
13062109353059302013-09-01,PIMO,NA,NA,TerrADat,1306211208542225,NS,1.3,no major water erosion patterns,M,1.4444444444444444,there are many trees and a lack of grasses,NS,1.1,soil stability is good,3,2013,R029XY049NV,37.71656491,-115.44429546,NV,1947,Lincoln,NA,0,9.33333333,26.66666667,3.27777778,Grasslands
14070609095749152014-09-01,JUOC,NA,NA,TerrADat,1407081546052139,NA,0.8,NA,NA,0.4444444444444444,NA,NA,1.1,NA,0,2014, UNKNOWN,40.75341,-120.30505,CA,1672,Lassen,NA,28,2,2,1,Grasslands
14031115293278882014-09-01,JUNIP,NA,NA,TerrADat,1408141343306355,ME,1.5,"No deep-rooted, perennial bunchgrasses on site.",ET,2.3333333333333335,"Site sparsly vegetated, but dominated by cheatgrass. Almost no deep-rooted bunchgrasses present.",NS,1.1,NA,5,2014,R024XY057NV,41.01019231,-118.06918526,NV,5308,Humboldt,NA,0,0,30,2.27777778,Grasslands
14061009325874982014-09-01,PIMO,NA,NA,TerrADat,1406101408239227,ME,2.8,"Upgraded to ME because of the common presence of water-flow patterns, pedestals and terracettes, and increase in % of bare ground. Moderate departure of soil surface resistance.",M,2,Upgraded to M because of change in F/S groups and moderate departure of reproductive capability.,ME,2.9,"Upgraded to ME because of the increase in bare ground %, very common presence of water-flow patterns, pedestals, and terracettes.",4,2014,R029XY049NV,37.91510957,-118.22956618,NV,2143,Esmeralda,NA,7.33333333,24,12,2.05555556,Savannas
14090811091093442014-09-01,JUOS,NA,NA,TerrADat,1409081339301808,SM,1.6,Agree with average,M,2,Upgraded due to detrimental changes in plant S/F groups and co-dominance of invasive grass,NS,1.4,Agree with average,3,2014,R028BY016NV,39.73406795,-116.83534821,NV,1927,Lander,NA,13.33333333,27.33333333,14,3,Grasslands
14081413284621002014-09-01,PIMO,NA,NA,TerrADat,1408151557296991,NS,1.1,"Only one value in SM, and that's b/c of P-J precip interception. Still lots of BGs to bring water into soil.",M,1.5555555555555556,"We weighted 16, 12 and 13 heavily because they point to a downward trend in biotic integrity due to P-J encroachment.",NS,1,All indicators NS.,2,2014,R028BY006NV,38.97094046,-114.71919136,NV,2192,White Pine,NA,10,11.33333333,16.66666667,3.05555556,Grasslands
14081413284621002014-09-01,JUOS,NA,NA,TerrADat,1408151557296991,NS,1.1,"Only one value in SM, and that's b/c of P-J precip interception. Still lots of BGs to bring water into soil.",M,1.5555555555555556,"We weighted 16, 12 and 13 heavily because they point to a downward trend in biotic integrity due to P-J encroachment.",NS,1,All indicators NS.,2,2014,R028BY006NV,38.97094046,-114.71919136,NV,2192,White Pine,NA,10,11.33333333,16.66666667,3.05555556,Grasslands
14081508270171072014-09-01,PIMO,NA,NA,TerrADat,1408210955463496,NS,1.1,All but one indicator value in NS. We don't feel the P-J precipitation interception warrants rating the attribute down.,M,1.5555555555555556,"Weighting 12, 13 and 16 heavily because they speak to a downward trend in biotic integrity due to P-J encroachment.",NS,1,All indicator values are NS.,2,2014,R028BY006NV,38.96797583,-114.71963272,NV,2174,White Pine,NA,10,24.66666667,5.33333333,3.33333333,Grasslands
14081508270171072014-09-01,JUOS,NA,NA,TerrADat,1408210955463496,NS,1.1,All but one indicator value in NS. We don't feel the P-J precipitation interception warrants rating the attribute down.,M,1.5555555555555556,"Weighting 12, 13 and 16 heavily because they speak to a downward trend in biotic integrity due to P-J encroachment.",NS,1,All indicator values are NS.,2,2014,R028BY006NV,38.96797583,-114.71963272,NV,2174,White Pine,NA,10,24.66666667,5.33333333,3.33333333,Grasslands
14082511240467662014-09-01,JUOS,NA,NA,TerrADat,1408261156029394,SM,1.1,PJ encroachment reducing function of grasses.,M,1.3333333333333333,reduction of grasses and increase of PJ departs from reference.,NS,1,Site/soil stable. High surface rock fragment and vegetation maintianing stability.,2,2014,R028BY006NV,38.9852561,-114.7183855,NV,2185,White Pine,NA,8,12.66666667,14.66666667,3.72222222,Grasslands
14082511240467662014-09-01,PIMO,NA,NA,TerrADat,1408261156029394,SM,1.1,PJ encroachment reducing function of grasses.,M,1.3333333333333333,reduction of grasses and increase of PJ departs from reference.,NS,1,Site/soil stable. High surface rock fragment and vegetation maintianing stability.,2,2014,R028BY006NV,38.9852561,-114.7183855,NV,2185,White Pine,NA,8,12.66666667,14.66666667,3.72222222,Grasslands
14082710272784932014-09-01,JUOS,NA,NA,TerrADat,1408281054301273,NS,1.2,Soilo stability & community composition barely depart from reference.,M,1.4444444444444444,Grasses do not dominate site as they should in reference state. Juniper encroachment has developed.,NS,1.1,Soil stobility values almost met reference conditions.,2,2014,R028BY006NV,38.9994266,-114.71213393,NV,2165,White Pine,NA,6.66666667,20,27.33333333,2.88888889,Grasslands
14082710272784932014-09-01,PIMO,NA,NA,TerrADat,1408281054301273,NS,1.2,Soilo stability & community composition barely depart from reference.,M,1.4444444444444444,Grasses do not dominate site as they should in reference state. Juniper encroachment has developed.,NS,1.1,Soil stobility values almost met reference conditions.,2,2014,R028BY006NV,38.9994266,-114.71213393,NV,2165,White Pine,NA,6.66666667,20,27.33333333,2.88888889,Grasslands
15081711554163122015-09-01,JUOS,NA,NA,TerrADat,1508201217225972,SM,1.6,Infiltration is decreased by a decrease in large shrubs and a less than expected cover of deep- rooted perennial bunchgrasses.  Rabbitbrush presence assists infiltration.,M,1.7777777777777777,Less than expected cover of large shrubs and deep-rooted perennial bunchgrassses. Invasive species are scattered throughout.,NS,1.3,"Although there is one continuous water channel, it has not been used in awhile as evidenced by shrubs and grasses growing in it.",3,2015,R028BY006NV,41.06878778,-114.9103539,NV,1909,Elko,NA,32.66666667,26,26,3.66666667,Grasslands
15081711554163122015-09-01,PIMO,NA,NA,TerrADat,1508201217225972,SM,1.6,Infiltration is decreased by a decrease in large shrubs and a less than expected cover of deep- rooted perennial bunchgrasses.  Rabbitbrush presence assists infiltration.,M,1.7777777777777777,Less than expected cover of large shrubs and deep-rooted perennial bunchgrassses. Invasive species are scattered throughout.,NS,1.3,"Although there is one continuous water channel, it has not been used in awhile as evidenced by shrubs and grasses growing in it.",3,2015,R028BY006NV,41.06878778,-114.9103539,NV,1909,Elko,NA,32.66666667,26,26,3.66666667,Grasslands
15081716560292972015-09-01,JUOS,NA,NA,TerrADat,1508201250488731,M,1.6,Water flow channels present with abundant pedestals and terracettes that diminish hydrologic function.,M,1.7777777777777777,There is a severe change in relative dominance of functional/structural groups such that there are fewer bunchgrasses than expected. Presence of scattered cheatgrass.,SM,1.5,"Frequent terracettes, but soil stability is generally good. There are some stable and long interconnected water flow patterns.",2,2015,R028BY006NV,41.09343418,-114.86773471,NV,1900,Elko,NA,6.66666667,25.33333333,33.33333333,4.83333333,Grasslands
